phishing_url,rank,sus,password,login,diff,result
-1,0,-1,0,0,0,-1
-1,0,0,0,0,0,-1
-1,0,1,0,0,0,1
-1,1,-1,0,0,0,-1
-1,1,0,0,0,0,-1
-1,1,1,0,0,0,-1
0,0,-1,0,0,0,-1
0,0,-1,0,1,0,-1
0,0,-1,1,0,0,-1
0,0,-1,1,1,902,1
0,0,-1,1,1,33,-1
0,0,0,0,0,0,-1
0,0,0,0,1,0,1
0,0,0,1,0,0,1
0,0,0,1,1,217,1
0,0,0,1,1,6,-1
0,0,1,0,0,0,1
0,0,1,0,1,0,1
0,0,1,1,0,0,1
0,0,1,1,1,213,1
0,0,1,1,1,3,1
0,1,-1,0,0,0,-1
0,1,-1,0,1,0,-1
0,1,-1,1,0,0,-1
0,1,-1,1,1,388,1
0,1,-1,1,1,3,1
0,1,0,0,0,0,-1
0,1,0,0,1,0,-1
0,1,0,1,0,0,-1
0,1,0,1,1,469,1
0,1,0,1,1,49,-1
0,1,1,0,0,0,-1
0,1,1,0,1,0,1
0,1,1,1,0,0,-1
0,1,1,1,1,723,1
0,1,1,1,1,37,1
1,0,-1,0,0,0,1
1,0,-1,0,1,0,1
1,0,-1,1,0,0,1
1,0,-1,1,1,571,1
1,0,-1,1,1,1,1
1,0,0,0,0,0,1
1,0,0,0,1,0,1
1,0,0,1,0,0,1
1,0,0,1,1,887,1
1,0,0,1,1,88,1
1,0,1,0,0,0,1
1,0,1,0,1,0,1
1,0,1,1,0,0,1
1,0,1,1,1,766,1
1,1,-1,0,0,0,1
1,1,-1,0,1,0,1
1,1,-1,1,0,0,1
1,1,-1,1,1,859,1
1,1,-1,1,1,9,1
1,1,0,0,0,0,1
1,1,0,0,1,0,1
1,1,0,1,0,0,1
1,1,0,1,1,733,1
1,1,-1,1,1,2,1
1,1,1,0,0,0,1
1,1,1,0,1,0,1
1,1,1,1,0,0,1
1,1,1,1,1,38,1
1,1,1,1,1,9,1
