phishing_url,rank,sus,password,login,iframe,iqs_phishing,iqs_sus,iqs_risk_score,result
0,0,-1,0,0,0,0,0,-1,-1
0,0,1,0,0,0,0,0,-1,-1
0,0,0,0,0,1,0,0,-1,-1
0,0,0,1,1,1,0,0,-1,-1
0,0,0,1,1,0,0,1,0,-1
0,-1,1,0,0,0,0,1,0,1
0,-1,1,0,0,0,0,1,1,1
0,-1,1,1,1,0,1,1,1,1
0,-1,0,0,0,0,1,1,1,1
0,-1,1,1,1,1,1,1,1,1
0,-1,1,0,0,1,0,1,1,1
0,-1,1,0,0,0,1,1,1,1
0,-1,1,0,0,1,1,1,1,1
0,0,0,0,1,1,0,0,-1,-1
0,0,-1,0,0,1,0,0,-1,-1
0,0,1,0,1,0,0,0,-1,-1
0,0,-1,1,1,1,0,0,-1,-1
0,-1,0,1,0,0,1,1,1,1
0,-1,1,1,0,0,1,1,1,1
0,1,-1,0,0,0,0,0,-1,-1
0,0,-1,0,1,0,0,0,-1,-1
0,-1,1,1,1,0,0,0,-1,-1
0,1,1,0,0,0,0,0,-1,-1
