phishing_url,rank,sus,password,login,diff,iqs_phishing,iqs_sus,iqs_risk_score,result
-1,0,-1,0,0,0,0,0,-1,-1
-1,0,1,0,0,0,0,0,-1,-1
0,0,1,1,1,35,0,0,-1,-1
0,0,1,0,1,0,0,0,-1,-1
-1,0,0,0,0,0,0,0,-1,-1
0,0,0,1,1,0,0,0,-1,-1
0,1,0,0,1,0,0,0,-1,-1
0,1,0,1,1,4,0,0,-1,-1
0,0,1,1,1,13,0,0,-1,-1
0,0,0,1,1,1,0,1,0,-1
0,0,0,1,1,72,0,1,0,-1
-1,-1,1,0,0,0,0,1,1,1
0,-1,1,1,1,7,0,1,1,1
0,-1,1,1,1,22,1,1,1,1
-1,-1,-1,0,0,0,1,1,1,1
-1,-1,1,0,0,0,1,1,1,1
0,-1,1,1,0,0,0,0,-1,1
-1,-1,0,0,0,0,1,1,1,1
1,0,0,0,0,0,0,0,-1,-1
0,-1,1,1,1,83,0,1,0,-1
-1,-1,1,0,0,0,0,1,1,-1
-1,0,1,0,0,0,0,1,0,-1
0,0,1,1,1,4,0,1,0,-1
0,-1,-1,0,1,5,0,0,-1,-1
0,-1,-1,1,1,5,0,0,-1,-1
1,1,-1,0,0,0,0,0,-1,-1
0,0,0,1,1,15,0,0,-1,-1
0,0,0,1,1,2,0,0,-1,-1
0,0,0,1,1,1,0,0,-1,-1
-1,-1,0,0,0,0,0,1,1,1
0,-1,1,1,0,0,1,1,1,1
-1,-1,0,0,0,0,0,0,-1,-1
0,-1,1,0,1,0,1,1,1,1
